Id,CO2 Emissions(g/km)
54938.0,307.82586669921875
54939.0,291.615478515625
54940.0,183.04981994628906
54941.0,384.69720458984375
54942.0,235.57798767089844
54943.0,254.7537841796875
54944.0,168.18710327148438
54945.0,156.59017944335938
54946.0,226.1236572265625
54947.0,163.0386199951172
54948.0,192.88616943359375
54949.0,318.3243103027344
54950.0,265.3990173339844
54951.0,194.56146240234375
54952.0,235.87332153320312
54953.0,265.04144287109375
54954.0,336.5080261230469
54955.0,174.5281982421875
54956.0,175.29901123046875
54957.0,288.2988586425781
54958.0,322.7933349609375
54959.0,201.7823028564453
54960.0,171.58612060546875
54961.0,235.84405517578125
54962.0,225.07351684570312
54963.0,172.9321746826172
54964.0,230.97000122070312
54965.0,277.256103515625
54966.0,233.56640625
54967.0,255.54263305664062
54968.0,251.2803192138672
54969.0,171.0908660888672
54970.0,268.2067565917969
54971.0,205.5365447998047
54972.0,178.2445068359375
54973.0,178.5879669189453
54974.0,247.3674774169922
54975.0,243.2001953125
54976.0,217.08558654785156
54977.0,210.9901885986328
54978.0,245.61228942871094
54979.0,302.7640380859375
54980.0,253.0906982421875
54981.0,279.2643127441406
54982.0,263.2506103515625
54983.0,324.4824523925781
54984.0,252.1078338623047
54985.0,230.3388671875
54986.0,252.27650451660156
54987.0,282.89306640625
54988.0,254.47219848632812
54989.0,223.4990997314453
54990.0,230.26278686523438
54991.0,231.0381317138672
54992.0,205.10983276367188
54993.0,334.1478271484375
54994.0,168.14767456054688
54995.0,310.5467224121094
54996.0,232.26234436035156
54997.0,187.5648193359375
54998.0,216.2690887451172
54999.0,338.69989013671875
55000.0,206.71763610839844
55001.0,212.62823486328125
55002.0,210.32884216308594
55003.0,363.356201171875
55004.0,174.25184631347656
55005.0,193.15736389160156
55006.0,362.8627624511719
55007.0,246.48130798339844
55008.0,125.42279815673828
55009.0,167.123046875
55010.0,174.75143432617188
55011.0,213.5556640625
55012.0,202.4627227783203
55013.0,371.8103942871094
55014.0,278.3933410644531
55015.0,301.68743896484375
55016.0,262.7813720703125
55017.0,271.6843566894531
55018.0,237.4599151611328
55019.0,206.45408630371094
55020.0,318.4765625
55021.0,238.01614379882812
55022.0,282.04840087890625
55023.0,170.5081787109375
55024.0,225.6612548828125
55025.0,308.9078063964844
55026.0,213.56243896484375
55027.0,343.5245361328125
55028.0,333.7366027832031
55029.0,364.6258239746094
55030.0,193.0421905517578
55031.0,183.50462341308594
55032.0,175.99952697753906
55033.0,323.0772399902344
55034.0,206.9956817626953
55035.0,346.16705322265625
55036.0,311.143310546875
55037.0,232.35940551757812
55038.0,220.8272705078125
