Id,CO2 Emissions(g/km)
54938,321.54156
54939,206.08199
54940,214.4945
54941,236.39395
54942,225.34982
54943,228.4412
54944,361.70215
54945,194.51358
54946,316.19183
54947,170.40233
54948,227.18439
54949,323.66418
54950,171.7972
54951,224.10886
54952,194.03932
54953,369.00723
54954,399.79782
54955,269.1627
54956,233.31099
54957,266.38257
54958,192.27095
54959,208.0033
54960,219.92593
54961,250.60516
54962,174.89795
54963,194.34392
54964,194.16458
54965,205.71939
54966,225.16478
54967,202.97766
54968,211.47038
54969,344.5689
54970,274.814
54971,247.18237
54972,380.3094
54973,243.73936
54974,225.17282
54975,319.7409
54976,224.3147
54977,240.55376
54978,206.69263
54979,356.09152
54980,258.55127
54981,404.3752
54982,295.0242
54983,227.15837
54984,182.59799
54985,155.99272
54986,189.88428
54987,232.29561
54988,176.61308
54989,276.04626
54990,339.62357
54991,170.70035
54992,231.8474
54993,326.5429
54994,180.34119
54995,207.60175
54996,189.46758
54997,289.87173
54998,353.07138
54999,157.07129
55000,357.4737
55001,169.25432
55002,225.81882
55003,366.8192
55004,305.3843
55005,166.68773
55006,299.70938
55007,293.28058
55008,181.78757
55009,168.21445
55010,220.37042
55011,305.91245
55012,204.99413
55013,304.18976
55014,336.4346
55015,262.09033
55016,378.505
55017,253.03566
55018,227.24625
55019,181.29512
55020,296.66022
55021,226.40437
55022,258.24292
55023,187.53006
55024,268.37772
55025,385.22034
55026,217.84895
55027,164.5334
55028,235.7411
55029,126.30929
55030,232.5625
55031,341.47742
55032,206.1861
55033,177.34964
55034,201.07759
55035,298.23444
55036,236.07076
55037,257.95877
55038,356.32425
55039,291.92868
55040,208.8751
55041,199.27373
55042,332.05203
55043,243.25551
55044,257.27844
55045,216.22462
55046,198.13043
55047,179.01158
55048,234.94029
55049,312.72333
55050,182.74881
55051,322.129
55052,348.7588
55053,263.5919
55054,371.46176
55055,281.7873
55056,279.15833
55057,213.07268
55058,329.1599
55059,279.76883
55060,174.82416
55061,173.27599
55062,217.87988
55063,327.16376
55064,386.1821
55065,216.55551
55066,194.81021
55067,183.00632
55068,232.43494
55069,322.62805
55070,212.44534
55071,268.68396
55072,308.58957
55073,176.13142
55074,276.55814
55075,178.38725
55076,378.64847
55077,163.99493
55078,176.73218
55079,347.7511
55080,137.01866
55081,341.47858
55082,302.31546
55083,226.6528
55084,217.89711
55085,393.0759
55086,226.48409
55087,253.31592
55088,176.60994
55089,224.5064
55090,240.37283
55091,352.97812
55092,331.1821
55093,310.69916
55094,167.54292
55095,241.48367
55096,268.2178
55097,317.65546
55098,245.17213
55099,232.12645
55100,250.79445
55101,209.3456
55102,236.8879
55103,287.86066
55104,191.10826
55105,259.10474
55106,218.13635
55107,311.54724
55108,198.6815
55109,318.3286
55110,283.4002
55111,325.14868
55112,324.88947
55113,242.5313
55114,281.34885
55115,197.81044
55116,162.08517
55117,178.13069
55118,297.9013
55119,319.0932
55120,408.77744
55121,360.80737
55122,170.81146
55123,150.37416
55124,211.21075
55125,209.26863
55126,169.66597
55127,244.61917
55128,131.6808
55129,225.73792
55130,261.51117
55131,222.41183
55132,277.14365
55133,173.0339
55134,239.39142
55135,162.4111
55136,397.75473
55137,221.45497
55138,273.89154
55139,202.73265
55140,162.83737
55141,192.49341
55142,158.3258
55143,201.63347
55144,243.2942
55145,392.30222
55146,214.2011
55147,199.1982
55148,247.8249
55149,170.67159
55150,224.22737
55151,172.47937
55152,168.23807
55153,226.20332
55154,196.05441
55155,353.9601
55156,204.76945
55157,174.24051
55158,257.04257
55159,244.42557
55160,281.51242
55161,253.22525
55162,387.64767
55163,135.26582
55164,229.64621
55165,198.802
55166,178.46248
55167,360.80164
55168,305.32693
55169,244.27132
55170,214.47273
55171,237.78223
55172,306.35632
55173,312.58328
55174,228.82236
55175,265.94745
55176,379.3637
55177,161.38048
55178,173.32617
55179,197.27261
55180,232.83482
55181,390.52817
55182,287.12433
55183,262.6713
55184,286.17453
55185,289.8916
55186,365.58118
55187,129.9946
55188,274.57123
55189,226.097
55190,167.16666
55191,252.85617
55192,330.60516
55193,341.084
55194,162.2282
55195,184.06421
55196,151.25475
55197,314.671
55198,309.29807
55199,210.96028
55200,241.80557
55201,339.56165
55202,170.0375
55203,151.48792
55204,184.40555
55205,156.4985
55206,202.74991
55207,205.45932
55208,324.85873
55209,254.98834
55210,202.24757
55211,309.06842
55212,227.17021
55213,282.1786
55214,219.59372
55215,176.25487
55216,321.05713
55217,178.34618
55218,269.06308
55219,223.15434
55220,222.091
55221,180.62703
55222,229.56029
55223,320.4147
55224,234.2958
55225,225.80768
55226,299.1592
55227,227.31357
55228,255.14781
55229,325.16165
55230,176.9416
55231,216.63585
55232,191.96594
55233,320.82306
55234,204.39313
55235,177.48923
55236,231.68747
55237,210.192
55238,373.91287
55239,211.49707
55240,213.67514
55241,279.7788
55242,207.20529
55243,326.9969
55244,193.38986
55245,211.90762
55246,246.58246
55247,330.27908
55248,211.59846
55249,161.54587
55250,268.12482
55251,401.43768
55252,284.81357
55253,173.36617
55254,283.57376
55255,398.81693
55256,323.25027
55257,191.32133
55258,172.22505
55259,176.24422
55260,241.77582
55261,335.9081
55262,205.967
55263,216.5535
55264,178.86298
55265,285.22723
55266,367.0835
55267,187.16476
55268,302.23166
55269,381.69644
55270,230.02072
55271,432.1004
55272,322.5301
55273,288.10016
55274,391.6876
55275,228.67781
55276,233.23985
55277,333.59125
55278,259.65927
55279,224.56184
55280,292.6194
55281,175.23744
55282,335.76184
55283,314.8421
55284,312.0692
55285,190.83316
55286,266.1773
55287,187.405
55288,334.2032
55289,153.61725
55290,220.06079
55291,200.57904
55292,251.59196
55293,316.46448
55294,293.597
55295,213.1337
55296,362.6142
55297,281.70578
55298,203.20818
55299,179.06976
55300,189.96313
55301,262.92343
55302,354.66605
55303,270.9475
55304,247.75566
55305,313.8664
55306,232.31242
55307,387.7579
55308,165.6616
55309,205.52695
55310,275.15134
55311,250.62518
55312,203.20712
55313,294.1022
55314,176.03941
55315,205.86879
55316,200.59949
55317,247.62877
55318,177.83937
55319,390.57172
55320,288.62064
55321,191.85298
55322,390.34644
55323,222.33151
55324,180.79132
55325,427.75754
55326,366.84396
55327,161.06598
55328,337.45108
55329,326.41788
55330,217.17592
55331,187.37402
55332,224.78003
55333,221.3315
55334,387.66983
55335,314.07553
55336,229.74669
55337,173.71317
55338,298.7723
55339,228.71042
55340,229.50182
55341,349.19064
55342,180.33897
55343,279.85333
55344,184.00113
55345,173.52406
55346,216.95276
55347,292.24045
55348,194.46712
55349,315.0886
55350,334.0482
55351,207.7487
55352,165.75009
55353,187.61221
55354,332.35138
55355,253.84198
55356,241.0655
55357,179.21321
55358,238.20349
55359,233.25305
55360,245.82603
55361,383.74295
55362,337.09103
55363,336.51904
55364,308.43826
55365,187.05585
55366,324.8494
55367,383.33417
55368,217.45772
55369,242.29082
55370,366.74808
55371,175.79837
55372,288.00742
55373,246.79688
55374,294.87607
55375,296.5164
55376,275.0213
55377,214.16412
55378,255.43512
55379,171.32118
55380,237.29797
55381,210.30212
55382,208.35825
55383,280.16315
55384,257.18323
55385,249.32788
55386,224.2501
55387,254.10498
55388,262.54584
55389,249.65529
55390,231.69643
55391,242.17606
55392,229.34485
55393,357.76688
55394,193.34387
55395,184.99875
55396,170.961
55397,227.95752
55398,215.71736
55399,214.49002
55400,193.18889
55401,326.1964
55402,229.84848
55403,267.4465
55404,317.30975
55405,263.35892
55406,340.41092
55407,358.8894
55408,211.29665
55409,380.68085
55410,289.52142
55411,229.45993
55412,143.55452
55413,300.72736
55414,167.28012
55415,266.36978
55416,232.06903
55417,186.44572
55418,237.53242
55419,258.63428
55420,232.01941
55421,225.33556
55422,164.61314
55423,254.93588
55424,273.5854
55425,194.63672
55426,321.41016
55427,212.1701
55428,196.22154
55429,350.0539
55430,222.77554
55431,226.92236
55432,318.57343
55433,420.35443
55434,217.64062
55435,191.65366
55436,283.85553
55437,198.49538
55438,194.84116
55439,331.9529
55440,390.39078
55441,175.68071
55442,230.39783
55443,238.81088
55444,232.33241
55445,245.78294
55446,257.86026
55447,360.31107
55448,233.17325
55449,344.13428
55450,284.2181
55451,248.0271
55452,398.2149
55453,199.4487
55454,250.88063
55455,188.929
55456,281.95932
55457,325.69824
55458,293.25143
55459,157.50464
55460,315.6192
55461,203.08061
55462,216.23921
55463,209.7108
55464,376.2084
55465,165.21608
55466,202.59335
55467,202.38283
55468,203.35057
55469,212.65703
55470,255.8443
55471,285.13657
55472,236.4041
55473,194.25449
55474,315.7231
55475,288.19284
55476,299.73706
55477,138.17874
55478,258.88446
55479,185.5778
55480,117.19934
55481,255.91313
55482,313.1941
55483,216.10892
55484,206.5777
55485,212.82718
55486,286.92062
55487,392.00104
55488,226.86417
55489,182.52766
55490,231.50337
55491,228.12552
55492,230.7312
55493,321.80493
55494,310.863
55495,201.72597
55496,348.97128
55497,284.12994
55498,322.93796
55499,224.24396
55500,385.46616
55501,245.41078
55502,194.72638
55503,185.40298
55504,323.9113
55505,234.08562
55506,178.96931
55507,247.16911
55508,319.33078
55509,327.54077
55510,225.94717
55511,219.41061
55512,283.87216
55513,148.69678
55514,235.31514
55515,194.63812
55516,257.7677
55517,160.57367
55518,176.1465
55519,238.15985
55520,194.19986
55521,368.0063
55522,159.44382
55523,272.2508
55524,206.78053
55525,219.99115
55526,222.27023
55527,355.17822
55528,196.66275
55529,401.4888
55530,125.16932
55531,223.59737
55532,176.55153
55533,249.81268
55534,258.71655
55535,276.33685
55536,311.01364
55537,240.19232
55538,194.5493
55539,333.7104
55540,168.0509
55541,136.14497
55542,281.78156
55543,223.11221
55544,168.76459
55545,203.57816
55546,352.27414
55547,161.22629
55548,178.49791
55549,229.17455
55550,323.02548
55551,246.20917
55552,169.7911
55553,353.79315
55554,257.20215
55555,169.58662
55556,307.66812
55557,206.33965
55558,269.95898
55559,175.88689
55560,228.34204
55561,237.94748
55562,322.2977
55563,211.39926
55564,246.92937
55565,259.8894
55566,180.84834
55567,187.86893
55568,171.654
55569,312.01147
55570,225.16478
55571,192.34999
55572,231.06955
55573,249.61383
55574,280.45837
55575,258.43118
55576,200.9247
55577,227.38701
55578,212.74335
55579,222.32973
55580,240.33492
55581,230.64937
55582,182.47519
55583,326.00378
55584,360.54034
55585,343.83444
55586,402.20184
55587,172.48758
55588,204.01546
55589,245.41591
55590,223.20792
55591,301.335
55592,274.85458
55593,272.09738
55594,253.81212
55595,173.60329
55596,336.9526
55597,410.7121
55598,306.8198
55599,221.8739
55600,208.89412
55601,227.28943
55602,399.34
55603,149.51851
55604,202.62628
55605,165.14014
55606,401.5412
55607,323.12772
55608,203.49425
55609,224.7283
55610,349.17703
55611,201.65358
55612,305.13995
55613,167.95052
55614,326.88815
55615,238.82419
55616,191.53543
55617,173.4852
55618,197.59787
55619,174.14467
55620,236.32707
55621,280.82544
55622,270.8547
55623,206.55171
55624,303.67416
55625,245.89328
55626,312.99948
55627,207.06624
55628,223.97702
55629,247.62866
55630,248.63269
55631,268.7585
55632,301.48145
55633,204.85765
55634,225.79643
55635,189.23509
55636,238.72592
55637,336.1827
55638,271.32394
55639,225.29291
55640,219.1974
55641,175.21649
55642,226.93542
55643,185.02979
55644,281.4954
55645,173.50958
55646,168.81795
55647,254.03087
55648,237.79788
55649,269.80798
55650,172.33347
55651,268.05197
55652,190.81967
55653,161.06598
55654,271.85208
55655,319.05255
55656,361.0638
55657,237.39139
55658,240.37193
55659,265.67615
55660,183.51126
55661,223.08997
55662,390.7858
55663,212.50896
55664,251.07727
55665,229.4509
55666,345.89554
55667,165.36687
55668,271.8638
55669,242.5639
55670,171.56618
55671,203.39748
55672,287.45325
55673,214.38858
55674,155.42311
55675,393.53824
55676,158.78981
55677,186.95477
55678,180.78978
55679,390.5656
55680,250.19743
55681,323.72992
55682,238.45325
55683,256.1942
55684,227.34982
55685,364.28137
55686,243.1716
55687,198.32797
55688,162.75612
55689,198.68063
55690,340.11832
55691,252.33554
55692,275.44537
55693,222.61778
55694,249.5964
55695,288.47058
55696,217.23898
55697,221.8222
55698,218.1727
55699,134.92035
55700,318.6021
55701,147.77573
55702,212.88733
55703,149.86153
55704,261.55185
55705,221.09853
55706,326.47342
55707,235.78998
55708,246.15067
55709,184.38496
55710,172.58855
55711,175.74121
55712,191.04945
55713,387.57022
55714,215.20885
55715,207.49457
55716,246.91202
55717,253.84047
55718,161.81421
55719,215.42215
55720,260.19882
55721,121.86329
55722,389.9393
55723,155.05927
55724,380.43887
55725,252.02603
55726,222.14331
55727,381.80447
55728,354.77808
55729,175.14058
55730,273.661
55731,234.60329
55732,217.76062
55733,250.5866
55734,296.02646
55735,255.32233
55736,143.63527
55737,216.98117
55738,272.62787
55739,333.1558
55740,272.7371
55741,159.38405
55742,220.39417
55743,317.0243
55744,242.93181
55745,279.97256
55746,158.31978
55747,222.67848
55748,221.76846
55749,200.81793
55750,199.42508
55751,363.9441
55752,231.50209
55753,169.17358
55754,238.79549
55755,269.53796
55756,146.32593
55757,370.1062
55758,242.69351
55759,253.9019
55760,164.1014
55761,314.74414
55762,193.52118
55763,198.37833
55764,309.97586
55765,303.989
55766,166.54108
55767,345.54544
55768,185.54776
55769,233.81892
55770,168.77666
55771,343.46802
55772,230.08119
55773,212.50577
55774,177.54724
55775,310.14792
55776,273.22073
55777,226.7663
55778,242.93181
55779,231.85579
55780,365.8322
55781,273.31885
55782,163.63867
55783,203.27318
55784,206.17943
55785,233.68225
55786,303.51694
55787,340.33
55788,243.65625
55789,307.152
55790,243.44353
55791,267.06265
55792,329.25717
55793,222.11787
55794,320.6556
55795,343.86224
55796,242.86516
55797,184.97325
55798,170.041
55799,139.29996
55800,313.1212
55801,223.14545
55802,274.56372
55803,228.2347
55804,209.72896
55805,229.01443
55806,194.32718
55807,226.04028
55808,226.91682
55809,204.45757
55810,177.52536
55811,325.8342
55812,127.61233
55813,196.4658
55814,224.86652
55815,216.86476
55816,176.71541
55817,287.11215
55818,172.36394
55819,393.47424
55820,343.78354
55821,233.28416
55822,160.25468
55823,204.0437
55824,194.00716
55825,203.26035
55826,229.86118
55827,195.91913
55828,161.61606
55829,337.82816
55830,211.27429
55831,252.29515
55832,199.89903
55833,229.7346
55834,197.43652
55835,247.1962
55836,199.63371
55837,343.69403
55838,220.42903
55839,149.00052
55840,236.37389
55841,301.06845
55842,257.42087
55843,185.3614
55844,246.04184
55845,216.70038
55846,382.823
55847,345.08957
55848,229.09718
55849,210.22658
55850,258.98517
55851,208.47371
55852,246.64542
55853,216.27557
55854,261.27652
55855,230.01216
55856,181.83273
55857,226.31303
55858,228.01613
55859,173.01271
55860,216.85277
55861,313.36224
55862,225.40733
55863,292.52127
55864,190.05658
55865,248.79565
55866,216.86703
55867,233.44746
55868,195.54799
55869,341.2297
55870,182.49745
55871,191.4431
55872,214.39812
55873,283.43314
55874,295.0003
55875,244.42505
55876,246.04916
55877,247.62279
55878,184.62096
55879,188.90186
55880,204.67152
55881,197.98393
55882,231.07713
55883,250.39821
55884,299.9531
55885,205.33734
55886,186.91815
55887,158.33473
55888,187.18188
55889,269.10117
55890,175.84605
55891,249.08992
55892,425.90768
55893,283.78305
55894,219.40877
55895,259.5286
55896,173.87895
55897,252.71483
55898,205.97932
55899,324.2206
55900,246.4179
55901,304.33286
55902,333.15656
55903,205.02055
55904,305.10757
55905,205.5173
55906,207.35837
55907,324.4177
55908,174.958
55909,259.7081
55910,126.362206
55911,158.69333
55912,357.56168
55913,186.86276
55914,296.25168
55915,385.59622
55916,288.57172
55917,216.7077
55918,232.87103
55919,281.91272
55920,301.31143
55921,205.18861
55922,302.43057
55923,260.80377
55924,347.7583
55925,246.97456
55926,277.68854
55927,292.40915
55928,235.67303
55929,173.37654
55930,184.60109
55931,253.77855
55932,294.52756
55933,331.30658
55934,245.62907
55935,173.77882
55936,154.93324
55937,203.94142
55938,197.95369
55939,241.16841
55940,270.43536
55941,193.84108
55942,318.5945
55943,165.53122
55944,206.67778
55945,230.96675
55946,225.28831
55947,249.03938
55948,375.52505
55949,276.31503
55950,201.68932
55951,191.072
55952,379.55576
55953,159.94545
55954,271.32925
55955,189.52296
55956,169.46996
55957,295.53384
55958,203.26237
55959,298.42178
55960,221.04968
55961,313.86902
55962,237.22696
55963,240.824
55964,234.67142
55965,182.37527
55966,263.9311
55967,296.46594
55968,220.867
55969,168.79231
55970,214.20761
55971,188.88928
55972,329.28763
55973,287.53073
55974,346.3656
55975,435.05774
55976,119.18674
55977,189.74318
55978,198.58665
55979,236.04552
55980,304.70197
55981,352.8307
55982,222.5704
55983,262.0929
55984,208.5399
55985,196.62735
55986,185.73093
55987,355.5439
55988,199.51727
55989,358.95996
55990,211.3043
55991,341.90726
55992,259.65512
55993,198.38919
55994,272.43338
55995,269.27527
55996,173.64386
55997,275.30566
55998,317.66016
55999,307.22098
56000,218.81786
56001,209.58708
56002,316.3808
56003,300.4586
56004,238.06436
56005,213.16747
56006,231.65256
56007,200.09357
56008,197.06502
56009,195.9447
56010,264.62183
56011,169.33217
